true_open,true_high,true_low,true_close,true_volume,true_amount,pred_open,pred_high,pred_low,pred_close,pred_volume,pred_amount,timestamp
348.27,348.27,345.27,348.27,159468.0,6204441088.0,348.25153,348.244,345.23157,348.22305,159476.84,6207258600.0,2020-01-09
353.07,357.47,350.27,356.87,252920.0,10030083072.0,353.0631,357.48102,350.28558,356.86456,252687.38,10009476000.0,2020-01-10
358.27,364.67,355.67,364.67,275703.0,11085383680.0,358.26547,364.6346,355.65652,364.63474,275482.94,11073068000.0,2020-01-13
368.27,371.27,354.87,358.67,268276.0,10863865856.0,368.28134,371.2905,354.91428,358.6853,268545.47,10859527000.0,2020-01-14
355.47,361.27,354.47,357.07,159381.0,6348068352.0,355.47458,361.27008,354.4645,357.07077,159377.39,6362226000.0,2020-01-15
357.27,361.27,354.67,358.27,137706.0,5490470400.0,357.27414,361.2673,354.6687,358.27493,138030.42,5508166700.0,2020-01-16
358.27,358.87,354.27,357.27,136708.0,5445721600.0,358.26135,358.87994,354.2615,357.2703,136826.34,5443187700.0,2020-01-17
363.27,363.27,354.27,354.27,132824.0,5298844672.0,363.25763,363.2651,354.2778,354.28342,133016.66,5304331300.0,2020-01-20
353.27,353.27,341.67,343.67,241734.0,9349942272.0,353.27448,353.27463,341.69333,343.68167,241052.69,9326403000.0,2020-01-21
345.67,351.07,340.87,349.27,186823.0,7272504320.0,345.6596,351.05133,340.8506,349.24396,186969.89,7277601000.0,2020-01-22
347.87,348.07,337.27,343.87,186213.0,7161286144.0,347.86472,348.08408,337.29532,343.87827,186110.8,7162281500.0,2020-01-23
345.27,346.87,341.67,344.07,80507.0,3106178048.0,345.25955,346.87097,341.6661,344.0594,80948.77,3117710600.0,2020-01-24
342.47,347.87,339.27,341.47,317610.0,12247522304.0,342.47992,347.86633,339.26688,341.4784,317208.9,12228424000.0,2020-01-29
344.27,347.27,328.47,333.27,249468.0,9439561728.0,344.2703,347.27402,328.4738,333.28833,249535.12,9435956000.0,2020-01-30
338.47,343.07,329.67,331.27,202991.0,7653063168.0,338.46826,343.07373,329.67334,331.28046,203067.38,7656003600.0,2020-01-31
