q_exit,q_half,total_return
0.05,0.3,0.2858529999999997
0.05,0.31,0.2858529999999997
0.05,0.32,0.2766629999999992
0.05,0.33,0.32871000000000006
0.05,0.34,0.36458799999999925
0.05,0.35000000000000003,0.3645399999999994
0.05,0.36,0.3760859999999995
0.05,0.37,0.3735299999999999
0.05,0.38,0.4038529999999998
0.05,0.39,0.3710110000000004
0.05,0.4,0.3644759999999998
0.06,0.07,0.4368719999999995
0.06,0.08,0.43316699999999964
0.06,0.09,0.5773289999999998
0.06,0.1,0.5509029999999993
0.06,0.11,0.5521029999999998
0.06,0.12,0.5503169999999995
0.06,0.13,0.5555729999999992
0.06,0.14,0.506806000000001
0.06,0.15,0.5147219999999999
0.06,0.16,0.5364889999999995
0.06,0.17,0.4641440000000008
0.06,0.18,0.4641440000000008
0.06,0.19,0.40965799999999986
0.06,0.2,0.40965799999999986
0.06,0.21,0.41347200000000006
0.06,0.22,0.47803199999999935
0.06,0.23,0.47939
0.06,0.24,0.3852920000000002
0.06,0.25,0.3768089999999997
0.06,0.26,0.3471449999999998
0.06,0.27,0.3171019999999989
0.06,0.28,0.34045599999999987
0.06,0.29,0.3808749999999994
0.06,0.3,0.41828299999999996
0.06,0.31,0.41828299999999996
0.06,0.32,0.4039729999999999
0.06,0.33,0.40722099999999983
0.06,0.34,0.46150199999999963
0.06,0.35000000000000003,0.45118599999999986
0.06,0.36,0.4616800000000001
0.06,0.37,0.44545400000000024
0.06,0.38,0.47992300000000077
0.06,0.39,0.47454900000000055
0.06,0.4,0.45198799999999983
0.07,0.08,0.4051680000000002
0.07,0.09,0.5459400000000003
0.07,0.1,0.4925199999999994
0.07,0.11,0.5309229999999998
0.07,0.12,0.5175329999999994
0.07,0.13,0.4982970000000002
0.07,0.14,0.4666049999999995
0.07,0.15,0.47071299999999927
0.07,0.16,0.4458169999999999
0.07,0.17,0.41049599999999953
0.07,0.18,0.41049599999999953
0.07,0.19,0.4032529999999992
0.07,0.2,0.4032529999999992
0.07,0.21,0.3989819999999997
0.07,0.22,0.44478199999999957
0.07,0.23,0.4240469999999996
0.07,0.24,0.34888899999999956
0.07,0.25,0.33555
0.07,0.26,0.3300830000000001
0.07,0.27,0.2824799999999994
0.07,0.28,0.3018599999999998
0.07,0.29,0.31970499999999946
0.07,0.3,0.36267199999999944
0.07,0.31,0.36267199999999944
0.07,0.32,0.3644409999999991
0.07,0.33,0.3616520000000001
0.07,0.34,0.4082980000000005
0.07,0.35000000000000003,0.420855
0.07,0.36,0.43478999999999934
0.07,0.37,0.42165499999999945
0.07,0.38,0.4228229999999993
0.07,0.39,0.4083599999999994
0.07,0.4,0.39191299999999996
0.08,0.09,0.5871089999999997
0.08,0.1,0.5398019999999994
0.08,0.11,0.5587790000000001
0.08,0.12,0.5652149999999994
0.08,0.13,0.5351160000000001
0.08,0.14,0.5206
0.08,0.15,0.5074449999999999
0.08,0.16,0.5138009999999997
0.08,0.17,0.4854870000000002
0.08,0.18,0.4854870000000002
0.08,0.19,0.4434379999999998
0.08,0.2,0.4434379999999998
0.08,0.21,0.4486019999999997
